repository,issue_number,issue_url,state,decision,decision_provenance
infiniflow/ragflow,585,https://github.com/infiniflow/ragflow/issues/585,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,587,https://github.com/infiniflow/ragflow/issues/587,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,591,https://github.com/infiniflow/ragflow/issues/591,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,610,https://github.com/infiniflow/ragflow/issues/610,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,612,https://github.com/infiniflow/ragflow/issues/612,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,627,https://github.com/infiniflow/ragflow/issues/627,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,651,https://github.com/infiniflow/ragflow/issues/651,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,655,https://github.com/infiniflow/ragflow/issues/655,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,661,https://github.com/infiniflow/ragflow/issues/661,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,703,https://github.com/infiniflow/ragflow/issues/703,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,715,https://github.com/infiniflow/ragflow/issues/715,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,721,https://github.com/infiniflow/ragflow/issues/721,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,729,https://github.com/infiniflow/ragflow/issues/729,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,734,https://github.com/infiniflow/ragflow/issues/734,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,802,https://github.com/infiniflow/ragflow/issues/802,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,832,https://github.com/infiniflow/ragflow/issues/832,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,834,https://github.com/infiniflow/ragflow/issues/834,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,849,https://github.com/infiniflow/ragflow/issues/849,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,858,https://github.com/infiniflow/ragflow/issues/858,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,862,https://github.com/infiniflow/ragflow/issues/862,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,879,https://github.com/infiniflow/ragflow/issues/879,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,888,https://github.com/infiniflow/ragflow/issues/888,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,893,https://github.com/infiniflow/ragflow/issues/893,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,907,https://github.com/infiniflow/ragflow/issues/907,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,913,https://github.com/infiniflow/ragflow/issues/913,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,914,https://github.com/infiniflow/ragflow/issues/914,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,920,https://github.com/infiniflow/ragflow/issues/920,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,921,https://github.com/infiniflow/ragflow/issues/921,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,922,https://github.com/infiniflow/ragflow/issues/922,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,927,https://github.com/infiniflow/ragflow/issues/927,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,932,https://github.com/infiniflow/ragflow/issues/932,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,933,https://github.com/infiniflow/ragflow/issues/933,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,947,https://github.com/infiniflow/ragflow/issues/947,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,951,https://github.com/infiniflow/ragflow/issues/951,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,953,https://github.com/infiniflow/ragflow/issues/953,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,955,https://github.com/infiniflow/ragflow/issues/955,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,963,https://github.com/infiniflow/ragflow/issues/963,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,980,https://github.com/infiniflow/ragflow/issues/980,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,991,https://github.com/infiniflow/ragflow/issues/991,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,992,https://github.com/infiniflow/ragflow/issues/992,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,994,https://github.com/infiniflow/ragflow/issues/994,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,995,https://github.com/infiniflow/ragflow/issues/995,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1010,https://github.com/infiniflow/ragflow/issues/1010,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1026,https://github.com/infiniflow/ragflow/issues/1026,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1048,https://github.com/infiniflow/ragflow/issues/1048,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1058,https://github.com/infiniflow/ragflow/issues/1058,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1087,https://github.com/infiniflow/ragflow/issues/1087,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1099,https://github.com/infiniflow/ragflow/issues/1099,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1108,https://github.com/infiniflow/ragflow/issues/1108,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
